a1p,a3p,b3p
0.785293835046144,-0.000570375991201865,4.05419837508983e-05
0.786025612409223,-0.000578545592201708,3.68362860057764e-05
0.786025612409223,-0.000578545592201708,3.68362860057764e-05
0.78603527356311,-0.000578710787994615,3.66822899403711e-05
0.78603527356311,-0.000578710787994615,3.66822899403711e-05
0.786035128790567,-0.00057870547794039,3.66818854727027e-05
0.786035128790567,-0.00057870547794039,3.66818854727027e-05
0.78678619034826,-0.000587270339059558,3.26997582733101e-05
0.78678619034826,-0.000587270339059558,3.26997582733101e-05
0.78679598022942,-0.000587523932865479,3.25713198421471e-05
0.78679598022942,-0.000587523932865479,3.25713198421471e-05
0.78679601264139,-0.000587534203485461,3.25319873322304e-05
0.78679601264139,-0.000587534203485461,3.25319873322304e-05
0.78756656129567,-0.000596508932113976,2.82890988603472e-05
0.78756656129567,-0.000596508932113976,2.82890988603472e-05
0.787576217192204,-0.000596706240421096,2.81060263497199e-05
0.787576217192204,-0.000596706240421096,2.81060263497199e-05
0.787576179339656,-0.000596651882005701,2.8117018561538e-05
0.787576179339656,-0.000596651882005701,2.8117018561538e-05
0.788366287148794,-0.000606080257775413,2.35105872571877e-05
0.788366287148794,-0.000606080257775413,2.35105872571877e-05
0.788376103458082,-0.00060633645384001,2.3349115113985e-05
0.788376103458082,-0.00060633645384001,2.3349115113985e-05
0.788376158491015,-0.000606351032575648,2.33606617051209e-05
0.788376158491015,-0.000606351032575648,2.33606617051209e-05
0.789185999465424,-0.000616252546905434,1.84012907644527e-05
0.789185999465424,-0.000616252546905434,1.84012907644527e-05
0.789195805442173,-0.000616503661892466,1.81866863936631e-05
0.789195805442173,-0.000616503661892466,1.81866863936631e-05
0.789195792390149,-0.000616530588275853,1.82081671353032e-05
0.789195792390149,-0.000616530588275853,1.82081671353032e-05
0.790025413325197,-0.000626935870071619,1.28652462394662e-05
0.790025413325197,-0.000626935870071619,1.28652462394662e-05
0.79003536701548,-0.000627207958765623,1.26504865676281e-05
0.79003536701548,-0.000627207958765623,1.26504865676281e-05
0.790035493638418,-0.000627178673787321,1.26100994007077e-05
0.790035493638418,-0.000627178673787321,1.26100994007077e-05
0.790885196660001,-0.000638121179323419,6.84763046604015e-06
0.790885196660001,-0.000638121179323419,6.84763046604015e-06
0.790895109001903,-0.000638391195165708,6.67160450888852e-06
0.790895109001903,-0.000638391195165708,6.67160450888852e-06
0.7908950250403,-0.000638414128923201,6.63500844684222e-06
0.7908950250403,-0.000638414128923201,6.63500844684222e-06
0.791764744450631,-0.000649931185774707,4.17652278725649e-07
0.791764744450631,-0.000649931185774707,4.17652278725649e-07
0.791774956581004,-0.000650216284538031,2.02234318552972e-07
0.791774956581004,-0.000650216284538031,2.02234318552972e-07
0.791774812629597,-0.000650191965627112,1.20185749011215e-07
0.791774812629597,-0.000650191965627112,1.20185749011215e-07
0.792665014110563,-0.0006623487970709,-6.5139920451439e-06
0.792665014110563,-0.0006623487970709,-6.5139920451439e-06
0.792675224545319,-0.000662658585491328,-6.81137669167918e-06
0.792675224545319,-0.000662658585491328,-6.81137669167918e-06
0.792675076052113,-0.000662694991353115,-6.80734727269524e-06
0.792675076052113,-0.000662694991353115,-6.80734727269524e-06
0.793585758896578,-0.000675453774600307,-1.40713611828852e-05
0.793585758896578,-0.000675453774600307,-1.40713611828852e-05
0.7935957816227,-0.000675840601209592,-1.43730231167456e-05
0.7935957816227,-0.000675840601209592,-1.43730231167456e-05
0.793595856556449,-0.000675871951909524,-1.43762390094456e-05
0.793595856556449,-0.000675871951909524,-1.43762390094456e-05
0.794526860439162,-0.000689379927204881,-2.22317859363797e-05
0.794526860439162,-0.000689379927204881,-2.22317859363797e-05
0.794537311860247,-0.000689731292272375,-2.25076028446452e-05
0.794537311860247,-0.000689731292272375,-2.25076028446452e-05
0.794537218192528,-0.00068972543633855,-2.2489314327437e-05
0.794537218192528,-0.00068972543633855,-2.2489314327437e-05
0.795489003441802,-0.00070400215015343,-3.09977656823154e-05
0.795489003441802,-0.00070400215015343,-3.09977656823154e-05
0.795499600734493,-0.000704398264133175,-3.14113968555943e-05
0.795499600734493,-0.000704398264133175,-3.14113968555943e-05
0.795499643651232,-0.000704372708378856,-3.13751596116568e-05
